"Price","District","City","Type","EnergyCertificate","Parking","ConstructionYear","TotalArea","Elevator","TotalRooms","LivingArea","NumberOfBathrooms","lat","long"
489000,"Faro","Loulé","Apartment","B",1,2020,107,"True",2,107,3,37.0162727,-7.9351771
275000,"Faro","Albufeira","Apartment","C",0,1991,103,"True",1,103,1,37.0162727,-7.9351771
195000,"Faro","Portimão","House","E",3,1980,134,"False",2,53,1,37.0162727,-7.9351771
224000,"Faro","Olhão","Apartment","F",1,1988,50,"False",1,50,1,37.0162727,-7.9351771
146000,"Faro","Portimão","Apartment","E",0,1993,47,"False",1,47,1,37.0162727,-7.9351771
305000,"Faro","Olhão","Apartment","D",1,2007,148,"True",3,111,2,37.0162727,-7.9351771
180000,"Faro","Tavira","Apartment","C",0,1993,81,"False",1,81,1,37.0162727,-7.9351771
330000,"Faro","Loulé","Apartment","B-",2,2001,110,"True",1,66,1,37.0162727,-7.9351771
323000,"Faro","Albufeira","Apartment","E",0,1988,108,"True",2,100,2,37.0162727,-7.9351771
345000,"Faro","Faro","Apartment","C",1,2002,134,"True",3,134,2,37.0162727,-7.9351771
240000,"Faro","Tavira","Apartment","D",0,1995,100,"False",2,75,1,37.0162727,-7.9351771
275000,"Faro","Tavira","Apartment","E",0,1979,88,"False",2,88,1,37.0162727,-7.9351771
305000,"Faro","Faro","Apartment","C",1,2007,166,"True",2,166,1,37.0162727,-7.9351771
178500,"Faro","Portimão","Apartment","F",0,1974,81,"True",2,65,2,37.0162727,-7.9351771
370000,"Faro","Faro","Apartment","A",0,2011,178,"True",3,107,2,37.0162727,-7.9351771
545000,"Faro","Loulé","Apartment","C",1,2003,139,"False",2,139,3,37.0162727,-7.9351771
330000,"Faro","Albufeira","Apartment","C",1,2007,181,"True",2,109,2,37.0162727,-7.9351771
268000,"Faro","Faro","Apartment","D",0,1979,117,"True",3,98,2,37.0162727,-7.9351771
220000,"Faro","Albufeira","Apartment","D",0,1989,47,"False",1,47,1,37.0162727,-7.9351771
189000,"Faro","Portimão","Apartment","C",0,1974,75,"True",2,75,1,37.0162727,-7.9351771
